,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,latitude_deg_dest,longitude_deg_dest,iata_code_dest,distance_km,CO2_emissions,CO2_emissions_per_passenger
0,2021-03-05,GRU,EDI,GRU-EDI,1.0,0.0,ECONOMY,oneway,2021-06-17 00:00:00,,False,BRL,-32132,REDIRECT,-23.431944,-46.467778,BR,55.950145,-3.372288,EDI,9716.556415616173,162411.12318991864,504.3823701550268
1,2022-02-05,GRU,EDI,GRU-EDI,1.0,0.0,ECONOMY,return,2022-09-26 00:00:00,2022-11-29 00:00:00,True,BRL,-32222,REDIRECT,-23.431944,-46.467778,BR,55.950145,-3.372288,EDI,9716.556415616173,162411.12318991864,504.3823701550268
2,2022-02-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,True,NZD,-32480,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
3,2022-02-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,True,NZD,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
4,2019-06-05,LHR,EDI,LOND-EDI,2.0,2.0,ECONOMY,oneway,2019-08-18 00:00:00,,False,AED,-32480,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
5,2019-06-05,LHR,EDI,LOND-EDI,2.0,2.0,ECONOMY,oneway,2019-08-18 00:00:00,,False,AED,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
6,2022-02-05,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,AUD,-32356,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
7,2019-06-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2019-07-27 00:00:00,,False,HKD,-32302,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
8,2019-06-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2019-07-27 00:00:00,,False,HKD,-32302,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
9,2021-03-05,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2021-06-06 00:00:00,,False,GBP,-32356,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
10,2021-03-05,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2021-06-06 00:00:00,,False,GBP,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
11,2022-02-05,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-02-05 00:00:00,,True,GBP,-32356,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
12,2022-02-05,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-02-05 00:00:00,,True,GBP,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
13,2021-03-05,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2021-05-21 00:00:00,2021-05-23 00:00:00,False,GBP,-32356,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
14,2022-02-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,False,NZD,-32480,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
15,2022-02-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,False,NZD,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
16,2022-02-05,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,GBP,-32356,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
17,2022-02-05,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,True,GBP,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
18,2019-06-05,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2019-09-21 00:00:00,,False,CNY,-32302,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
19,2021-03-05,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2021-07-05 00:00:00,2021-09-05 00:00:00,False,GBP,-32356,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
20,2019-06-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2019-10-05 00:00:00,2019-12-05 00:00:00,False,GBP,-32480,REDIRECT,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
21,2019-06-05,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,return,2019-10-05 00:00:00,2019-12-05 00:00:00,False,GBP,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,55.950145,-3.372288,EDI,533.5408952686737,3679.949045175048,25.91513412095104
