,dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles,distance_km,CO2_emissions,CO2_emissions_per_passenger
34,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-22 00:00:00,2022-05-26 00:00:00,False,GBP,22300.0,CENTI,-32480,BOOK_WITH_SKYSCANNER,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
35,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-03-06 00:00:00,2022-06-06 00:00:00,True,GBP,5400.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
36,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-03-06 00:00:00,2022-06-06 00:00:00,True,GBP,5400.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
37,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2021-05-22 00:00:00,2021-05-24 00:00:00,True,GBP,12900.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
38,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-02 00:00:00,2022-06-02 00:00:00,False,GBP,12800.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
39,2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-02 00:00:00,2022-06-02 00:00:00,False,GBP,12800.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
40,2019-06-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2019-05-31 00:00:00,,False,GBP,2200.0,CENTI,-31915,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
41,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-05-05 00:00:00,,False,GBP,2700.0,CENTI,-31915,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
42,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-05 00:00:00,2022-08-05 00:00:00,True,GBP,14000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
43,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-05 00:00:00,2022-08-05 00:00:00,True,GBP,14000.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
